Name,Position,Company,Country,Speaker_Profile_URL
Rish Tandapany,Group COO,Purple Group,SOUTH AFRICA,https://asia.money2020.com/program/speakers/rish-tandapany-s101-91504
Chibo Tang,Managing Partner,Gobi Partners GBA,HONG KONG SAR,https://asia.money2020.com/program/speakers/chibo-tang-s101-91823
Jamie Twiss,CEO,Carrington Labs,AUSTRALIA,https://asia.money2020.com/program/speakers/jamie-twiss-s101-91898
Tim Van Bijsterveldt,Liquidity & Account Solutions Specialist,J.P. Morgan Payments,SINGAPORE,https://asia.money2020.com/program/speakers/tim-van-bijsterveldt-s101-91882
Wells Vaughan,"CTO - APAC , Financial Services",SoftServe APAC,SINGAPORE,https://asia.money2020.com/program/speakers/wells-vaughan-s101-91835
Lito Villanueva,Chief Innovations & Inclusion Officer and Executive Vice President | Chairman,Rizal Commercial Banking Corporation (RCBC) | Fintech Alliance.ph,PHILIPPINES,https://asia.money2020.com/program/speakers/lito-villanueva-s101-91493
Christopher von Mitschke-Collande,"Director, Digital Solution Sales",Giesecke+Devrient,SINGAPORE,https://asia.money2020.com/program/speakers/christopher-von-mitschke-collande-s101-94965
Rebecca Walden,Fractional Chief Marketing Officer,Rebecca Walden Consulting,UNITED STATES,https://asia.money2020.com/program/speakers/rebecca-walden-s101-92704
Changbin Wang,Vice President & Managing Director,AMERICAN EXPRESS,SINGAPORE,https://asia.money2020.com/program/speakers/changbin-wang-s101-92162
Rachel Whelan,Managing Director | APAC & MEA Head of C,Deutsche Bank,SINGAPORE,https://asia.money2020.com/program/speakers/rachel-whelan-s101-94933
Axel Winter,Chief Executive Officer,Xponential,THAILAND,https://asia.money2020.com/program/speakers/axel-winter-s101-91413
Dr Geraldine Wong,Group Chief Data Officer,GXS,SINGAPORE,https://asia.money2020.com/program/speakers/dr-geraldine-wong-s101-91449
Melissa Wong,Group Chief Product Officer,bolttech Europe Agency GmbH,SINGAPORE,https://asia.money2020.com/program/speakers/melissa-wong-s101-91411
Nicole Wu,COO & Head of Compliance,Velocity Trade,SINGAPORE,https://asia.money2020.com/program/speakers/nicole-wu-s101-92800
Tom Xiong,Head of Asia Pacific GtM,Klarna,MAINLAND CHINA,https://asia.money2020.com/program/speakers/tom-xiong-s101-91905
Vincent Xu,Chief Operating Officer,Finology Group,MALAYSIA,https://asia.money2020.com/program/speakers/vincent-xu-s101-91841
Ivan Yang,"Director, APAC Operations",Trulioo,CANADA,https://asia.money2020.com/program/speakers/ivan-yang-s101-91853
Christopher Yu,President & Chief Financial Officer,KPay Group,HONG KONG SAR,https://asia.money2020.com/program/speakers/christopher-yu-s101-91883
Romain Zanolo,"Managing Director, Payment Services APAC",IDEMIA Secure Transactions,SINGAPORE,https://asia.money2020.com/program/speakers/romain-zanolo-s101-92104
Amy Zhang,Head of APAC,Fireblocks,SINGAPORE,https://asia.money2020.com/program/speakers/amy-zhang-s101-95151
Richard Zhang,"Director & CEO, SE Asia",Lianlian Global,SINGAPORE,https://asia.money2020.com/program/speakers/richard-zhang-s101-91513
Wei Zhou,Chief Executive Officer,Coins.ph,PHILIPPINES,https://asia.money2020.com/program/speakers/wei-zhou-s101-91403
